ID,Sexo,Estado civil,Edad,Educacion,Ingreso anual,Ocupacion,Tamano de asentamiento
100000062,Mujer,soltero/a,50,secundaria,123641,empleado/a calificado/a / funcionario/a,1
100000063,Mujer,soltero/a,61,universidad,166410,,1
100000064,Mujer,soltero/a,25,,227385,empleado/a calificado/a / funcionario/a,2
100000065,Hombre,,26,secundaria,118372,empleado/a calificado/a / funcionario/a,1
100000066,Mujer,soltero/a,48,secundaria,148115,empleado/a calificado/a / funcionario/a,1
100000067,Hombre,,29,secundaria,111069,empleado/a calificado/a / funcionario/a,0
100000068,Mujer,,22,secundaria,139780,empleado/a calificado/a / funcionario/a,0
100000069,Mujer,soltero/a,37,secundaria,106978,empleado/a calificado/a / funcionario/a,2
100000070,Hombre,,25,secundaria,110019,empleado/a calificado/a / funcionario/a,2
100000071,Hombre,,30,secundaria,169102,empleado/a calificado/a / funcionario/a,1
100000072,Mujer,soltero/a,46,secundaria,73703,desempleado/a / no calificado/a,0
100000073,Mujer,soltero/a,51,secundaria,141858,,2
100000074,Hombre,,41,universidad,135959,desempleado/a / no calificado/a,0
100000075,Mujer,soltero/a,40,secundaria,140888,,2
100000076,Mujer,soltero/a,66,universidad,157299,,2
100000077,Mujer,soltero/a,34,secundaria,125187,empleado/a calificado/a / funcionario/a,1
100000078,Mujer,soltero/a,51,secundaria,155486,empleado/a calificado/a / funcionario/a,2
100000079,Mujer,soltero/a,39,secundaria,151697,desempleado/a / no calificado/a,0
100000080,Mujer,,22,secundaria,126400,empleado/a calificado/a / funcionario/a,1
100000081,Hombre,,44,universidad,159246,empleado/a calificado/a / funcionario/a,2
100000082,Mujer,soltero/a,47,secundaria,136138,empleado/a calificado/a / funcionario/a,1
100000083,Hombre,,24,secundaria,84792,desempleado/a / no calificado/a,0
100000084,Hombre,,58,universidad,100210,desempleado/a / no calificado/a,0
100000085,Mujer,soltero/a,52,secundaria,93706,desempleado/a / no calificado/a,0
100000086,Hombre,,29,secundaria,133783,,1
100000087,Hombre,,27,secundaria,110064,empleado/a calificado/a / funcionario/a,2
100000088,Mujer,soltero/a,47,secundaria,241068,empleado/a calificado/a / funcionario/a,1
100000089,Mujer,soltero/a,30,,149022,,2
100000090,Mujer,soltero/a,28,,92973,empleado/a calificado/a / funcionario/a,2
100000091,Mujer,soltero/a,56,secundaria,110605,empleado/a calificado/a / funcionario/a,1
100000092,Mujer,soltero/a,54,secundaria,116604,empleado/a calificado/a / funcionario/a,1
100000093,Hombre,,33,secundaria,71070,desempleado/a / no calificado/a,0
100000094,Mujer,soltero/a,20,,128678,empleado/a calificado/a / funcionario/a,1
100000095,Mujer,soltero/a,54,secundaria,165230,empleado/a calificado/a / funcionario/a,2
100000096,Mujer,soltero/a,58,universidad,268340,empleado/a calificado/a / funcionario/a,1
100000097,Hombre,,61,universidad,135070,empleado/a calificado/a / funcionario/a,1
100000098,Mujer,soltero/a,34,secundaria,134794,empleado/a calificado/a / funcionario/a,2
100000099,Mujer,soltero/a,36,secundaria,120153,empleado/a calificado/a / funcionario/a,1
100000100,Mujer,soltero/a,36,secundaria,195465,,2
100000101,Mujer,,41,secundaria,93372,desempleado/a / no calificado/a,0
100000102,Mujer,soltero/a,24,,110446,empleado/a calificado/a / funcionario/a,0
100000103,Hombre,,24,secundaria,95186,empleado/a calificado/a / funcionario/a,1
100000104,Mujer,soltero/a,35,secundaria,115343,empleado/a calificado/a / funcionario/a,1
100000105,Mujer,,26,secundaria,107276,empleado/a calificado/a / funcionario/a,1
100000106,Mujer,soltero/a,39,secundaria,244716,,2
100000107,Mujer,soltero/a,39,secundaria,183108,,2
100000108,Mujer,soltero/a,32,,152876,empleado/a calificado/a / funcionario/a,2
100000109,Hombre,,30,secundaria,165147,empleado/a calificado/a / funcionario/a,0
100000110,Mujer,,35,secundaria,140520,empleado/a calificado/a / funcionario/a,0
100000111,Mujer,,31,secundaria,124203,empleado/a calificado/a / funcionario/a,1
100000112,Hombre,,23,secundaria,107205,empleado/a calificado/a / funcionario/a,1
100000113,Mujer,soltero/a,28,,121432,desempleado/a / no calificado/a,2
100000114,Hombre,,25,secundaria,162445,empleado/a calificado/a / funcionario/a,0
100000115,Mujer,,35,secundaria,134112,empleado/a calificado/a / funcionario/a,1
100000116,Mujer,soltero/a,47,secundaria,131842,empleado/a calificado/a / funcionario/a,1
100000117,Hombre,,30,secundaria,189896,,0
100000118,Hombre,,27,secundaria,109099,empleado/a calificado/a / funcionario/a,2
100000119,Hombre,,23,secundaria,153539,empleado/a calificado/a / funcionario/a,1
100000120,Mujer,,36,secundaria,180495,,1
100000121,Hombre,,25,secundaria,104653,empleado/a calificado/a / funcionario/a,2
100000122,Hombre,,41,universidad,166933,,2
100000123,Mujer,soltero/a,24,,66118,desempleado/a / no calificado/a,0
100000124,Mujer,soltero/a,63,universidad,135754,empleado/a calificado/a / funcionario/a,0
100000125,Hombre,,27,secundaria,116103,empleado/a calificado/a / funcionario/a,2
100000126,Mujer,soltero/a,30,,104293,empleado/a calificado/a / funcionario/a,1
100000127,Mujer,,40,secundaria,71702,desempleado/a / no calificado/a,0
100000128,Mujer,soltero/a,30,,99066,empleado/a calificado/a / funcionario/a,2
100000129,Mujer,soltero/a,34,secundaria,143979,,2
100000130,Hombre,,29,secundaria,123818,empleado/a calificado/a / funcionario/a,0
100000131,Hombre,,24,secundaria,176714,empleado/a calificado/a / funcionario/a,2
100000132,Mujer,soltero/a,29,,149249,empleado/a calificado/a / funcionario/a,2
100000133,Mujer,soltero/a,27,,77535,desempleado/a / no calificado/a,0
100000134,Mujer,soltero/a,47,secundaria,116540,empleado/a calificado/a / funcionario/a,1
100000135,Hombre,,21,secundaria,194728,empleado/a calificado/a / funcionario/a,0
100000136,Hombre,,38,secundaria,109311,empleado/a calificado/a / funcionario/a,2
100000137,Mujer,soltero/a,27,,204723,empleado/a calificado/a / funcionario/a,2
100000138,Mujer,soltero/a,66,universidad,126003,desempleado/a / no calificado/a,0
100000139,Mujer,soltero/a,35,secundaria,123109,empleado/a calificado/a / funcionario/a,1
100000140,Hombre,,44,universidad,108251,desempleado/a / no calificado/a,0
100000141,Mujer,,27,secundaria,89908,desempleado/a / no calificado/a,0
100000142,Hombre,,30,secundaria,176057,,1
100000143,Mujer,soltero/a,27,,144332,,2
100000144,Mujer,soltero/a,22,,101185,empleado/a calificado/a / funcionario/a,1
100000145,Hombre,,23,secundaria,107406,empleado/a calificado/a / funcionario/a,2
100000146,Mujer,soltero/a,30,,140665,empleado/a calificado/a / funcionario/a,1
100000147,Hombre,,39,universidad,106461,empleado/a calificado/a / funcionario/a,0
100000148,Hombre,,51,universidad,127825,empleado/a calificado/a / funcionario/a,0
100000149,Mujer,soltero/a,28,,133898,empleado/a calificado/a / funcionario/a,1
100000150,Mujer,soltero/a,46,secundaria,152383,empleado/a calificado/a / funcionario/a,2
100000151,Mujer,soltero/a,42,secundaria,119926,empleado/a calificado/a / funcionario/a,0
100000152,Mujer,soltero/a,38,secundaria,108784,empleado/a calificado/a / funcionario/a,2
100000153,Mujer,soltero/a,24,,153286,empleado/a calificado/a / funcionario/a,1
100000154,Hombre,,29,secundaria,214204,empleado/a calificado/a / funcionario/a,2
100000155,Mujer,soltero/a,36,secundaria,208101,,2
100000156,Hombre,,20,secundaria,95355,empleado/a calificado/a / funcionario/a,1
100000157,Mujer,soltero/a,48,secundaria,124156,empleado/a calificado/a / funcionario/a,1
100000158,Mujer,,45,universidad,72215,desempleado/a / no calificado/a,0
100000159,Mujer,soltero/a,38,secundaria,146529,empleado/a calificado/a / funcionario/a,2
100000160,Mujer,soltero/a,34,secundaria,75343,desempleado/a / no calificado/a,0
100000161,Mujer,soltero/a,36,secundaria,129789,empleado/a calificado/a / funcionario/a,1
100000162,Hombre,,30,secundaria,101153,empleado/a calificado/a / funcionario/a,1
100000163,Mujer,soltero/a,36,secundaria,127833,empleado/a calificado/a / funcionario/a,2
100000164,Mujer,soltero/a,70,universidad,224998,,2
100000165,Mujer,soltero/a,36,secundaria,124445,empleado/a calificado/a / funcionario/a,2
100000166,Mujer,soltero/a,32,,141116,empleado/a calificado/a / funcionario/a,1
100000167,Hombre,,33,secundaria,104276,empleado/a calificado/a / funcionario/a,2
100000168,Hombre,,20,secundaria,147687,empleado/a calificado/a / funcionario/a,2
100000169,Hombre,,25,secundaria,125168,empleado/a calificado/a / funcionario/a,1
100000170,Mujer,,31,secundaria,115369,empleado/a calificado/a / funcionario/a,2
100000171,Mujer,soltero/a,33,secundaria,95445,empleado/a calificado/a / funcionario/a,0
100000172,Hombre,,26,secundaria,95159,empleado/a calificado/a / funcionario/a,1
100000173,Hombre,,34,secundaria,153031,,2
100000174,Mujer,soltero/a,33,secundaria,108899,empleado/a calificado/a / funcionario/a,0
100000175,Mujer,soltero/a,26,,113515,empleado/a calificado/a / funcionario/a,1
100000176,Hombre,,53,universidad,211229,,0
100000177,Mujer,,42,universidad,121307,empleado/a calificado/a / funcionario/a,0
100000178,Mujer,soltero/a,52,secundaria,131727,empleado/a calificado/a / funcionario/a,2
100000179,Mujer,soltero/a,31,,133574,,1
100000180,Mujer,soltero/a,65,universidad,117334,empleado/a calificado/a / funcionario/a,0
100000181,Mujer,,28,secundaria,177291,empleado/a calificado/a / funcionario/a,2
100000182,Mujer,,30,secundaria,168763,,1
100000183,Mujer,soltero/a,40,secundaria,77720,desempleado/a / no calificado/a,0
100000184,Mujer,soltero/a,50,secundaria,176645,empleado/a calificado/a / funcionario/a,2
100000185,Mujer,soltero/a,36,secundaria,106205,empleado/a calificado/a / funcionario/a,1
100000186,Mujer,soltero/a,31,,97785,empleado/a calificado/a / funcionario/a,1
100000187,Hombre,,74,,214364,,1
100000188,Mujer,soltero/a,68,universidad,74525,desempleado/a / no calificado/a,0
100000189,Mujer,,20,secundaria,98988,empleado/a calificado/a / funcionario/a,0
100000190,Hombre,,33,secundaria,133561,empleado/a calificado/a / funcionario/a,1
100000191,Mujer,soltero/a,54,secundaria,217651,,2
100000192,Mujer,soltero/a,34,secundaria,116525,desempleado/a / no calificado/a,0
100000193,Mujer,soltero/a,36,secundaria,135302,empleado/a calificado/a / funcionario/a,2
100000194,Mujer,,29,secundaria,106434,empleado/a calificado/a / funcionario/a,1
100000195,Mujer,soltero/a,21,,128350,empleado/a calificado/a / funcionario/a,2
100000196,Hombre,,34,secundaria,147626,,2
100000197,Hombre,,28,secundaria,102697,empleado/a calificado/a / funcionario/a,0
100000198,Hombre,,27,secundaria,120262,empleado/a calificado/a / funcionario/a,0
100000199,Mujer,soltero/a,36,secundaria,124214,empleado/a calificado/a / funcionario/a,2
100000200,Mujer,,40,secundaria,175223,,1
100000201,Mujer,soltero/a,52,secundaria,137467,empleado/a calificado/a / funcionario/a,0
100000202,Mujer,,27,secundaria,65815,desempleado/a / no calificado/a,0
100000203,Mujer,soltero/a,26,,129864,empleado/a calificado/a / funcionario/a,1
100000204,Mujer,,21,secundaria,88475,empleado/a calificado/a / funcionario/a,1
100000205,Mujer,soltero/a,38,secundaria,74666,desempleado/a / no calificado/a,0
100000206,Mujer,soltero/a,38,secundaria,222294,,2
100000207,Mujer,soltero/a,43,secundaria,112878,empleado/a calificado/a / funcionario/a,0
100000208,Mujer,soltero/a,26,,103411,empleado/a calificado/a / funcionario/a,2
100000209,Mujer,,21,secundaria,112868,desempleado/a / no calificado/a,0
100000210,Mujer,soltero/a,55,secundaria,157940,empleado/a calificado/a / funcionario/a,2
100000211,Mujer,soltero/a,33,secundaria,115835,empleado/a calificado/a / funcionario/a,2
100000212,Hombre,,45,universidad,109807,desempleado/a / no calificado/a,0
100000213,Mujer,soltero/a,50,secundaria,150699,empleado/a calificado/a / funcionario/a,1
100000214,Mujer,soltero/a,66,universidad,178967,,0
100000215,Mujer,soltero/a,51,secundaria,132767,empleado/a calificado/a / funcionario/a,0
100000216,Hombre,,39,universidad,86152,desempleado/a / no calificado/a,0
100000217,Mujer,soltero/a,31,,114528,empleado/a calificado/a / funcionario/a,2
100000218,Mujer,soltero/a,23,,133912,empleado/a calificado/a / funcionario/a,1
100000219,Mujer,,24,secundaria,81210,desempleado/a / no calificado/a,0
100000220,Hombre,,64,,131242,empleado/a calificado/a / funcionario/a,0
100000221,Mujer,,26,secundaria,68804,desempleado/a / no calificado/a,0
100000222,Hombre,,23,secundaria,96961,empleado/a calificado/a / funcionario/a,1
100000223,Mujer,soltero/a,30,,90719,empleado/a calificado/a / funcionario/a,2
100000224,Mujer,soltero/a,32,,114116,empleado/a calificado/a / funcionario/a,1
100000225,Mujer,soltero/a,30,,128639,empleado/a calificado/a / funcionario/a,1
100000226,Mujer,soltero/a,27,,106623,empleado/a calificado/a / funcionario/a,1
100000227,Mujer,soltero/a,27,,236264,empleado/a calificado/a / funcionario/a,1
100000228,Mujer,soltero/a,53,secundaria,207783,,1
100000229,Mujer,soltero/a,22,,91739,empleado/a calificado/a / funcionario/a,1
100000230,Mujer,soltero/a,22,,107780,empleado/a calificado/a / funcionario/a,2
100000231,Mujer,soltero/a,26,,139157,empleado/a calificado/a / funcionario/a,2
100000232,Mujer,soltero/a,51,secundaria,121751,desempleado/a / no calificado/a,0
100000233,Mujer,soltero/a,35,secundaria,121974,empleado/a calificado/a / funcionario/a,0
100000234,Mujer,,25,secundaria,70320,desempleado/a / no calificado/a,0
100000235,Mujer,soltero/a,42,secundaria,78327,desempleado/a / no calificado/a,0
100000236,Mujer,soltero/a,30,,131433,,0
100000237,Mujer,soltero/a,23,,167076,desempleado/a / no calificado/a,2
100000238,Mujer,,61,universidad,130788,desempleado/a / no calificado/a,0
100000239,Hombre,,35,secundaria,107408,empleado/a calificado/a / funcionario/a,1
100000240,Mujer,soltero/a,39,secundaria,115323,empleado/a calificado/a / funcionario/a,1
100000241,Hombre,,29,secundaria,99012,empleado/a calificado/a / funcionario/a,0
100000242,Mujer,soltero/a,51,secundaria,115996,empleado/a calificado/a / funcionario/a,1
100000243,Mujer,soltero/a,24,,123353,empleado/a calificado/a / funcionario/a,1
100000244,Hombre,,27,secundaria,100008,empleado/a calificado/a / funcionario/a,0
100000245,Hombre,,35,secundaria,125105,desempleado/a / no calificado/a,0
100000246,Mujer,soltero/a,25,,92020,empleado/a calificado/a / funcionario/a,2
100000247,Mujer,soltero/a,52,secundaria,108365,empleado/a calificado/a / funcionario/a,2
100000248,Mujer,soltero/a,35,secundaria,112979,empleado/a calificado/a / funcionario/a,0
100000249,Mujer,soltero/a,26,,117221,empleado/a calificado/a / funcionario/a,1
100000250,Hombre,,22,secundaria,88800,empleado/a calificado/a / funcionario/a,2
100000251,Hombre,,39,universidad,115099,desempleado/a / no calificado/a,0
100000252,Hombre,,46,universidad,113399,desempleado/a / no calificado/a,0
100000253,Hombre,,24,secundaria,115879,empleado/a calificado/a / funcionario/a,1
100000254,Mujer,soltero/a,35,secundaria,141270,empleado/a calificado/a / funcionario/a,2
100000255,Mujer,soltero/a,24,,107633,empleado/a calificado/a / funcionario/a,1
100000256,Mujer,soltero/a,27,,131751,desempleado/a / no calificado/a,0
100000257,Mujer,soltero/a,35,secundaria,83687,desempleado/a / no calificado/a,0
100000258,Mujer,,29,secundaria,106828,empleado/a calificado/a / funcionario/a,2
100000259,Hombre,,23,secundaria,135537,empleado/a calificado/a / funcionario/a,1
100000260,Hombre,,57,universidad,107142,desempleado/a / no calificado/a,0
100000261,Mujer,soltero/a,27,,97446,empleado/a calificado/a / funcionario/a,1
100000262,Hombre,,55,universidad,126357,empleado/a calificado/a / funcionario/a,2
100000263,Mujer,soltero/a,36,secundaria,169617,,1
100000264,Hombre,,57,universidad,108945,desempleado/a / no calificado/a,0
100000265,Mujer,soltero/a,32,,67345,desempleado/a / no calificado/a,0
100000266,Mujer,soltero/a,37,secundaria,106215,empleado/a calificado/a / funcionario/a,0
100000267,Mujer,soltero/a,36,secundaria,149237,empleado/a calificado/a / funcionario/a,0
100000268,Hombre,,38,secundaria,112124,empleado/a calificado/a / funcionario/a,0
100000269,Mujer,,45,universidad,215150,,2
100000270,Mujer,soltero/a,25,,89534,empleado/a calificado/a / funcionario/a,1
100000271,Mujer,soltero/a,32,,111082,empleado/a calificado/a / funcionario/a,2
100000272,Hombre,,37,secundaria,137069,empleado/a calificado/a / funcionario/a,1
100000273,Mujer,soltero/a,36,secundaria,244541,,2
100000274,Mujer,soltero/a,28,,120712,empleado/a calificado/a / funcionario/a,1
100000275,Mujer,,34,secundaria,175367,desempleado/a / no calificado/a,0
100000276,Mujer,soltero/a,32,,111418,empleado/a calificado/a / funcionario/a,1
100000277,Hombre,,26,secundaria,110913,empleado/a calificado/a / funcionario/a,0
100000278,Mujer,,49,universidad,84267,desempleado/a / no calificado/a,0
100000279,Hombre,,32,secundaria,136886,empleado/a calificado/a / funcionario/a,2
100000280,Mujer,soltero/a,29,,144884,,2
100000281,Mujer,soltero/a,23,,151180,empleado/a calificado/a / funcionario/a,1
100000282,Mujer,soltero/a,50,secundaria,114997,empleado/a calificado/a / funcionario/a,1
100000283,Mujer,soltero/a,49,secundaria,100961,desempleado/a / no calificado/a,0
100000284,Mujer,soltero/a,63,universidad,124849,empleado/a calificado/a / funcionario/a,2
100000285,Mujer,,37,secundaria,152308,empleado/a calificado/a / funcionario/a,2
100000286,Hombre,,35,secundaria,167945,desempleado/a / no calificado/a,1
100000287,Mujer,soltero/a,26,,126706,empleado/a calificado/a / funcionario/a,2
100000288,Mujer,soltero/a,31,,210017,,2
100000289,Hombre,,49,universidad,125665,empleado/a calificado/a / funcionario/a,1
100000290,Mujer,,48,universidad,111184,empleado/a calificado/a / funcionario/a,1
100000291,Mujer,,26,secundaria,94134,empleado/a calificado/a / funcionario/a,0
100000292,Mujer,,28,secundaria,214620,,1
100000293,Hombre,,44,universidad,193816,,1
100000294,Mujer,soltero/a,56,secundaria,168714,empleado/a calificado/a / funcionario/a,1
100000295,Mujer,,46,universidad,202997,,1
100000296,Hombre,,26,secundaria,192451,empleado/a calificado/a / funcionario/a,2
100000297,Hombre,,20,secundaria,127928,empleado/a calificado/a / funcionario/a,2
100000298,Mujer,soltero/a,45,secundaria,78253,desempleado/a / no calificado/a,0
100000299,Mujer,soltero/a,43,secundaria,118446,empleado/a calificado/a / funcionario/a,1
100000300,Mujer,soltero/a,32,,161379,empleado/a calificado/a / funcionario/a,2
100000301,Hombre,,54,universidad,56622,desempleado/a / no calificado/a,0
100000302,Hombre,,42,universidad,146117,empleado/a calificado/a / funcionario/a,1
100000303,Mujer,soltero/a,37,secundaria,90418,desempleado/a / no calificado/a,0
100000304,Mujer,soltero/a,49,secundaria,109053,empleado/a calificado/a / funcionario/a,0
100000305,Mujer,soltero/a,44,secundaria,219319,empleado/a calificado/a / funcionario/a,0
100000306,Mujer,,33,secundaria,144701,empleado/a calificado/a / funcionario/a,1
100000307,Hombre,,24,secundaria,102425,desempleado/a / no calificado/a,0
100000308,Mujer,,33,secundaria,79867,desempleado/a / no calificado/a,0
100000309,Hombre,,24,secundaria,107114,empleado/a calificado/a / funcionario/a,2
100000310,Mujer,,22,secundaria,62263,desempleado/a / no calificado/a,0
100000311,Mujer,soltero/a,40,secundaria,92567,desempleado/a / no calificado/a,0
100000312,Mujer,soltero/a,25,,146349,empleado/a calificado/a / funcionario/a,0
100000313,Hombre,,26,secundaria,141825,empleado/a calificado/a / funcionario/a,1
100000314,Mujer,,25,secundaria,68582,desempleado/a / no calificado/a,0
100000315,Mujer,soltero/a,29,,85476,desempleado/a / no calificado/a,0
100000316,Mujer,soltero/a,31,,111091,empleado/a calificado/a / funcionario/a,2
100000317,Mujer,soltero/a,38,secundaria,67110,desempleado/a / no calificado/a,0
100000318,Hombre,,48,universidad,126154,desempleado/a / no calificado/a,0
100000319,Mujer,soltero/a,32,,92257,empleado/a calificado/a / funcionario/a,2
100000320,Hombre,,27,secundaria,93605,desempleado/a / no calificado/a,0
100000321,Mujer,,28,secundaria,165190,,0
100000322,Mujer,,32,secundaria,107195,empleado/a calificado/a / funcionario/a,0
100000323,Mujer,soltero/a,34,secundaria,145059,,0
100000324,Mujer,soltero/a,28,,148363,empleado/a calificado/a / funcionario/a,0
100000325,Hombre,,36,secundaria,105681,empleado/a calificado/a / funcionario/a,2
100000326,Mujer,soltero/a,39,secundaria,93732,desempleado/a / no calificado/a,0
100000327,Mujer,soltero/a,49,secundaria,154778,empleado/a calificado/a / funcionario/a,2
100000328,Hombre,,34,secundaria,149356,empleado/a calificado/a / funcionario/a,2
100000329,Mujer,soltero/a,31,,145670,empleado/a calificado/a / funcionario/a,1
100000330,Mujer,soltero/a,28,,101589,empleado/a calificado/a / funcionario/a,2
100000331,Mujer,soltero/a,75,universidad,213333,,1
100000332,Hombre,,30,secundaria,122420,empleado/a calificado/a / funcionario/a,0
100000333,Hombre,,24,secundaria,209856,,1
100000334,Hombre,,24,secundaria,181003,desempleado/a / no calificado/a,0
100000335,Mujer,soltero/a,23,,117804,empleado/a calificado/a / funcionario/a,1
100000336,Mujer,,44,universidad,160650,,1
100000337,Hombre,,23,secundaria,84611,desempleado/a / no calificado/a,0
100000338,Hombre,,24,secundaria,98479,empleado/a calificado/a / funcionario/a,2
100000339,Mujer,soltero/a,28,,122359,empleado/a calificado/a / funcionario/a,2
100000340,Mujer,,31,secundaria,81394,desempleado/a / no calificado/a,0
100000341,Hombre,,24,secundaria,150372,empleado/a calificado/a / funcionario/a,1
100000342,Hombre,,26,secundaria,92385,desempleado/a / no calificado/a,0
100000343,Mujer,,25,secundaria,149851,empleado/a calificado/a / funcionario/a,2
100000344,Mujer,soltero/a,33,secundaria,167939,,1
100000345,Mujer,soltero/a,37,secundaria,115426,desempleado/a / no calificado/a,0
100000346,Hombre,,43,universidad,85402,desempleado/a / no calificado/a,0
100000347,Mujer,soltero/a,23,,95815,empleado/a calificado/a / funcionario/a,2
100000348,Hombre,,23,secundaria,97518,desempleado/a / no calificado/a,0
100000349,Mujer,soltero/a,34,secundaria,87355,desempleado/a / no calificado/a,0
100000350,Mujer,soltero/a,32,,145933,empleado/a calificado/a / funcionario/a,1
100000351,Hombre,,23,secundaria,97307,empleado/a calificado/a / funcionario/a,0
100000352,Hombre,,29,secundaria,108434,empleado/a calificado/a / funcionario/a,2
100000353,Mujer,soltero/a,38,secundaria,151312,,1
100000354,Mujer,soltero/a,28,,141847,empleado/a calificado/a / funcionario/a,1
100000355,Mujer,soltero/a,46,secundaria,130675,empleado/a calificado/a / funcionario/a,2
100000356,Mujer,soltero/a,23,,69309,desempleado/a / no calificado/a,0
100000357,Mujer,soltero/a,49,secundaria,121466,empleado/a calificado/a / funcionario/a,2
100000358,Mujer,soltero/a,26,,153586,,2
100000359,Mujer,,28,secundaria,92849,empleado/a calificado/a / funcionario/a,0
100000360,Hombre,,23,secundaria,108539,empleado/a calificado/a / funcionario/a,2
100000361,Mujer,soltero/a,61,universidad,129556,empleado/a calificado/a / funcionario/a,2
100000362,Mujer,soltero/a,37,secundaria,170146,,0
100000363,Hombre,,36,secundaria,135383,empleado/a calificado/a / funcionario/a,1
