Sexo,Estado civil,Edad,Educacion,Ingreso anual,Ocupacion,Tamano de asentamiento,Ingreso mensual,Nivel socioeconomico,Descripción NSE
0,0,32,1,152876,4,2,12739,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
1,0,30,1,165147,4,0,13762,3,"Hogares con ingresos ligeramente inferiores al promedio, nivel educativo medio-bajo y acceso limitado a algunos servicios."
0,0,35,1,140520,4,0,11710,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,31,1,124203,4,1,10350,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
1,0,23,1,107205,4,1,8933,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,28,1,121432,1,2,10119,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
1,0,25,1,162445,4,0,13537,3,"Hogares con ingresos ligeramente inferiores al promedio, nivel educativo medio-bajo y acceso limitado a algunos servicios."
0,0,35,1,134112,4,1,11176,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,47,1,131842,4,1,10986,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
1,0,30,1,189896,4,0,15824,3,"Hogares con ingresos ligeramente inferiores al promedio, nivel educativo medio-bajo y acceso limitado a algunos servicios."
1,0,27,1,109099,4,2,9091,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
1,0,23,1,153539,4,1,12794,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,36,1,180495,4,1,15041,3,"Hogares con ingresos ligeramente inferiores al promedio, nivel educativo medio-bajo y acceso limitado a algunos servicios."
1,0,25,1,104653,4,2,8721,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
1,0,41,3,166933,4,2,13911,3,"Hogares con ingresos ligeramente inferiores al promedio, nivel educativo medio-bajo y acceso limitado a algunos servicios."
0,0,24,1,66118,1,0,5509,5,"Hogares con ingresos muy bajos, bajo nivel educativo y acceso muy limitado a servicios."
0,0,63,3,135754,4,0,11312,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
1,0,27,1,116103,4,2,9675,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,30,1,104293,4,1,8691,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,40,1,71702,1,0,5975,5,"Hogares con ingresos muy bajos, bajo nivel educativo y acceso muy limitado a servicios."
0,0,30,1,99066,4,2,8255,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,34,1,143979,4,2,11998,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
1,0,29,1,123818,4,0,10318,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
1,0,24,1,176714,4,2,14726,3,"Hogares con ingresos ligeramente inferiores al promedio, nivel educativo medio-bajo y acceso limitado a algunos servicios."
0,0,29,1,149249,4,2,12437,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,27,1,77535,1,0,6461,5,"Hogares con ingresos muy bajos, bajo nivel educativo y acceso muy limitado a servicios."
0,0,47,1,116540,4,1,9711,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
1,0,21,1,194728,4,0,16227,3,"Hogares con ingresos ligeramente inferiores al promedio, nivel educativo medio-bajo y acceso limitado a algunos servicios."
1,0,38,1,109311,4,2,9109,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,27,1,204723,4,2,17060,3,"Hogares con ingresos ligeramente inferiores al promedio, nivel educativo medio-bajo y acceso limitado a algunos servicios."
0,0,66,3,126003,1,0,10500,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,35,1,123109,4,1,10259,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
1,0,44,3,108251,1,0,9020,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,27,1,89908,1,0,7492,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
1,0,30,1,176057,4,1,14671,3,"Hogares con ingresos ligeramente inferiores al promedio, nivel educativo medio-bajo y acceso limitado a algunos servicios."
0,0,27,1,144332,4,2,12027,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,22,1,101185,4,1,8432,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
1,0,23,1,107406,4,2,8950,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,30,1,140665,4,1,11722,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
1,0,39,3,106461,4,0,8871,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
1,0,51,3,127825,4,0,10652,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,28,1,133898,4,1,11158,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,46,1,152383,4,2,12698,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,42,1,119926,4,0,9993,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,38,1,108784,4,2,9065,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,24,1,153286,4,1,12773,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
1,0,29,1,214204,4,2,17850,3,"Hogares con ingresos ligeramente inferiores al promedio, nivel educativo medio-bajo y acceso limitado a algunos servicios."
0,0,36,1,208101,4,2,17341,3,"Hogares con ingresos ligeramente inferiores al promedio, nivel educativo medio-bajo y acceso limitado a algunos servicios."
1,0,20,1,95355,4,1,7946,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,48,1,124156,4,1,10346,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,45,3,72215,1,0,6017,5,"Hogares con ingresos muy bajos, bajo nivel educativo y acceso muy limitado a servicios."
0,0,38,1,146529,4,2,12210,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,34,1,75343,1,0,6278,5,"Hogares con ingresos muy bajos, bajo nivel educativo y acceso muy limitado a servicios."
0,0,36,1,129789,4,1,10815,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
1,0,30,1,101153,4,1,8429,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,36,1,127833,4,2,10652,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,70,3,224998,4,2,18749,3,"Hogares con ingresos ligeramente inferiores al promedio, nivel educativo medio-bajo y acceso limitado a algunos servicios."
0,0,36,1,124445,4,2,10370,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,32,1,141116,4,1,11759,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
1,0,33,1,104276,4,2,8689,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
1,0,20,1,147687,4,2,12307,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
1,0,25,1,125168,4,1,10430,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,31,1,115369,4,2,9614,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,33,1,95445,4,0,7953,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
1,0,26,1,95159,4,1,7929,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
1,0,34,1,153031,4,2,12752,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,33,1,108899,4,0,9074,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,26,1,113515,4,1,9459,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
1,0,53,3,211229,4,0,17602,3,"Hogares con ingresos ligeramente inferiores al promedio, nivel educativo medio-bajo y acceso limitado a algunos servicios."
0,0,42,3,121307,4,0,10108,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,52,1,131727,4,2,10977,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,31,1,133574,4,1,11131,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,65,3,117334,4,0,9777,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,28,1,177291,4,2,14774,3,"Hogares con ingresos ligeramente inferiores al promedio, nivel educativo medio-bajo y acceso limitado a algunos servicios."
0,0,30,1,168763,4,1,14063,3,"Hogares con ingresos ligeramente inferiores al promedio, nivel educativo medio-bajo y acceso limitado a algunos servicios."
0,0,40,1,77720,1,0,6476,5,"Hogares con ingresos muy bajos, bajo nivel educativo y acceso muy limitado a servicios."
0,0,50,1,176645,4,2,14720,3,"Hogares con ingresos ligeramente inferiores al promedio, nivel educativo medio-bajo y acceso limitado a algunos servicios."
0,0,36,1,106205,4,1,8850,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,31,1,97785,4,1,8148,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
1,0,74,1,214364,4,1,17863,3,"Hogares con ingresos ligeramente inferiores al promedio, nivel educativo medio-bajo y acceso limitado a algunos servicios."
0,0,68,3,74525,1,0,6210,5,"Hogares con ingresos muy bajos, bajo nivel educativo y acceso muy limitado a servicios."
0,0,20,1,98988,4,0,8249,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
1,0,33,1,133561,4,1,11130,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,54,1,217651,4,2,18137,3,"Hogares con ingresos ligeramente inferiores al promedio, nivel educativo medio-bajo y acceso limitado a algunos servicios."
0,0,34,1,116525,1,0,9710,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,36,1,135302,4,2,11275,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,29,1,106434,4,1,8869,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,21,1,128350,4,2,10695,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
1,0,34,1,147626,4,2,12302,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
1,0,28,1,102697,4,0,8558,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
1,0,27,1,120262,4,0,10021,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,36,1,124214,4,2,10351,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,40,1,175223,4,1,14601,3,"Hogares con ingresos ligeramente inferiores al promedio, nivel educativo medio-bajo y acceso limitado a algunos servicios."
0,0,52,1,137467,4,0,11455,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,27,1,65815,1,0,5484,5,"Hogares con ingresos muy bajos, bajo nivel educativo y acceso muy limitado a servicios."
0,0,26,1,129864,4,1,10822,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,21,1,88475,4,1,7372,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,38,1,74666,1,0,6222,5,"Hogares con ingresos muy bajos, bajo nivel educativo y acceso muy limitado a servicios."
0,0,38,1,222294,4,2,18524,3,"Hogares con ingresos ligeramente inferiores al promedio, nivel educativo medio-bajo y acceso limitado a algunos servicios."
0,0,43,1,112878,4,0,9406,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,26,1,103411,4,2,8617,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,21,1,112868,1,0,9405,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,55,1,157940,4,2,13161,3,"Hogares con ingresos ligeramente inferiores al promedio, nivel educativo medio-bajo y acceso limitado a algunos servicios."
0,0,33,1,115835,4,2,9652,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
1,0,45,3,109807,1,0,9150,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,50,1,150699,4,1,12558,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,66,3,178967,4,0,14913,3,"Hogares con ingresos ligeramente inferiores al promedio, nivel educativo medio-bajo y acceso limitado a algunos servicios."
0,0,51,1,132767,4,0,11063,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
1,0,39,3,86152,1,0,7179,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,31,1,114528,4,2,9544,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,23,1,133912,4,1,11159,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,24,1,81210,1,0,6767,5,"Hogares con ingresos muy bajos, bajo nivel educativo y acceso muy limitado a servicios."
1,0,64,1,131242,4,0,10936,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,26,1,68804,1,0,5733,5,"Hogares con ingresos muy bajos, bajo nivel educativo y acceso muy limitado a servicios."
1,0,23,1,96961,4,1,8080,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,30,1,90719,4,2,7559,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,32,1,114116,4,1,9509,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,30,1,128639,4,1,10719,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,27,1,106623,4,1,8885,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,27,1,236264,4,1,19688,3,"Hogares con ingresos ligeramente inferiores al promedio, nivel educativo medio-bajo y acceso limitado a algunos servicios."
0,0,53,1,207783,4,1,17315,3,"Hogares con ingresos ligeramente inferiores al promedio, nivel educativo medio-bajo y acceso limitado a algunos servicios."
0,0,22,1,91739,4,1,7644,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,22,1,107780,4,2,8981,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,26,1,139157,4,2,11596,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,51,1,121751,1,0,10145,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,35,1,121974,4,0,10164,4,"Hogares con ingresos bajos, nivel educativo básico y acceso limitado a servicios."
0,0,25,1,70320,1,0,5860,5,"Hogares con ingresos muy bajos, bajo nivel educativo y acceso muy limitado a servicios."
